 ;SB 5000TL-20 442 / current / Wartości średnie  [A]0
00:15. 24;
00:30. 24;
00:45. 24;
01:00. 24;
01:15. 24;
01:30. 24;
01:45. 24;
02:00. 24;
02:15. 24;
02:30. 24;
02:45. 24;
03:00. 24;
03:15. 24;
03:30. 24;
03:45. 24;
04:00. 24;
04:15. 24;
04:30. 24;
04:45. 24;
05:00. 24;
05:15. 24;
05:30. 24;
05:45. 24;
06:00. 24;"0,040"
06:15. 24;"0,380"
06:30. 24;"0,370"
06:45. 24;"0,410"
07:00. 24;"0,700"
07:15. 24;"0,950"
07:30. 24;"1,350"
07:45. 24;"1,010"
08:00. 24;"1,350"
08:15. 24;"1,560"
08:30. 24;"4,110"
08:45. 24;"5,900"
09:00. 24;"5,640"
09:15. 24;"4,090"
09:30. 24;"4,690"
09:45. 24;"7,400"
10:00. 24;"8,840"
10:15. 24;"4,780"
10:30. 24;"4,990"
10:45. 24;"4,880"
11:00. 24;"2,950"
11:15. 24;"3,670"
11:30. 24;"4,660"
11:45. 24;"4,790"
12:00. 24;"4,600"
12:15. 24;"3,430"
12:30. 24;"0,780"
12:45. 24;"0,120"
13:00. 24;"0,240"
13:15. 24;"0,340"
13:30. 24;"0,640"
13:45. 24;"1,230"
14:00. 24;"2,400"
14:15. 24;"2,830"
14:30. 24;"2,780"
14:45. 24;"3,190"
15:00. 24;"3,980"
15:15. 24;"4,050"
15:30. 24;"4,480"
15:45. 24;"4,100"
16:00. 24;"5,660"
16:15. 24;"9,500"
16:30. 24;"8,100"
16:45. 24;"5,260"
17:00. 24;"3,880"
17:15. 24;"3,600"
17:30. 24;"2,270"
17:45. 24;"1,490"
18:00. 24;"1,250"
18:15. 24;"1,200"
18:30. 24;"0,930"
18:45. 24;"0,380"
19:00. 24;"0,200"
19:15. 24;"0,250"
19:30. 24;"0,310"
19:45. 24;"0,140"
20:00. 24;"0,000"
20:15. 24;"0,000"
20:30. 24;
20:45. 24;
21:00. 24;
21:15. 24;
21:30. 24;
21:45. 24;
22:00. 24;
22:15. 24;
22:30. 24;
22:45. 24;
23:00. 24;
23:15. 24;
23:30. 24;
23:45. 24;
00:00. 25;
00:15. 25;
00:30. 25;
00:45. 25;
01:00. 25;
01:15. 25;
01:30. 25;
01:45. 25;
02:00. 25;
02:15. 25;
02:30. 25;
02:45. 25;
03:00. 25;
03:15. 25;
03:30. 25;
03:45. 25;
04:00. 25;
04:15. 25;
04:30. 25;
04:45. 25;
05:00. 25;
05:15. 25;
05:30. 25;
05:45. 25;
06:00. 25;
06:15. 25;
06:30. 25;"0,000"
06:45. 25;"0,000"
07:00. 25;"0,000"
07:15. 25;"0,000"
07:30. 25;"0,000"
07:45. 25;"0,000"
08:00. 25;"0,000"
08:15. 25;"0,000"
08:30. 25;"0,000"
08:45. 25;"0,000"
09:00. 25;"0,000"
09:15. 25;"0,000"
09:30. 25;"0,000"
09:45. 25;"0,000"
10:00. 25;"0,000"
10:15. 25;"0,000"
10:30. 25;"0,000"
10:45. 25;"0,000"
11:00. 25;"0,000"
11:15. 25;"0,000"
11:30. 25;"0,000"
11:45. 25;"0,000"
12:00. 25;"0,000"
12:15. 25;"0,000"
12:30. 25;"0,000"
12:45. 25;"0,000"
