 ;SB 5000TL-20 442 / voltage / Wartości średnie  [V]0
01:00. 17;
01:15. 17;
01:30. 17;
01:45. 17;
02:00. 17;
02:15. 17;
02:30. 17;
02:45. 17;
03:00. 17;
03:15. 17;
03:30. 17;
03:45. 17;
04:00. 17;
04:15. 17;
04:30. 17;
04:45. 17;
05:00. 17;
05:15. 17;
05:30. 17;
05:45. 17;
06:00. 17;
06:15. 17;"240,660"
06:30. 17;"240,650"
06:45. 17;"240,690"
07:00. 17;"240,790"
07:15. 17;"240,620"
07:30. 17;"240,330"
07:45. 17;"240,680"
08:00. 17;"240,530"
08:15. 17;"240,410"
08:30. 17;"240,260"
08:45. 17;"241,090"
09:00. 17;"241,400"
09:15. 17;"241,380"
09:30. 17;"241,670"
09:45. 17;"244,720"
10:00. 17;"245,060"
10:15. 17;"245,320"
10:30. 17;"244,840"
10:45. 17;"245,960"
11:00. 17;"246,030"
11:15. 17;"245,950"
11:30. 17;"245,740"
11:45. 17;"245,770"
12:00. 17;"245,550"
12:15. 17;"245,680"
12:30. 17;"245,550"
12:45. 17;"244,540"
13:00. 17;"244,400"
13:15. 17;"243,810"
13:30. 17;"242,470"
13:45. 17;"243,550"
14:00. 17;"244,320"
14:15. 17;"244,930"
14:30. 17;"244,010"
14:45. 17;"243,280"
15:00. 17;"243,450"
15:15. 17;"243,460"
15:30. 17;"242,320"
15:45. 17;"242,990"
16:00. 17;"242,700"
16:15. 17;"242,000"
16:30. 17;"241,450"
16:45. 17;"240,690"
17:00. 17;"241,060"
17:15. 17;"241,420"
17:30. 17;"241,320"
17:45. 17;"241,340"
18:00. 17;"241,190"
18:15. 17;"241,540"
18:30. 17;"241,110"
18:45. 17;"240,700"
19:00. 17;"240,790"
19:15. 17;"240,570"
19:30. 17;"239,950"
19:45. 17;"239,720"
20:00. 17;"239,470"
20:15. 17;
20:30. 17;
20:45. 17;
21:00. 17;
21:15. 17;
21:30. 17;
21:45. 17;
22:00. 17;
22:15. 17;
22:30. 17;
22:45. 17;
23:00. 17;
23:15. 17;
23:30. 17;
23:45. 17;
00:00. 18;
00:15. 18;
00:30. 18;
00:45. 18;
01:00. 18;
01:15. 18;
01:30. 18;
01:45. 18;
02:00. 18;
02:15. 18;
02:30. 18;
02:45. 18;
03:00. 18;
03:15. 18;
03:30. 18;
03:45. 18;
04:00. 18;
04:15. 18;
04:30. 18;
04:45. 18;
05:00. 18;
05:15. 18;
05:30. 18;
05:45. 18;
06:00. 18;
06:15. 18;
06:30. 18;
06:45. 18;"239,130"
07:00. 18;"239,940"
07:15. 18;"239,680"
07:30. 18;"238,970"
07:45. 18;"238,600"
08:00. 18;"238,610"
08:15. 18;"239,460"
08:30. 18;"240,700"
08:45. 18;"240,400"
09:00. 18;"240,450"
09:15. 18;"240,110"
09:30. 18;"240,340"
09:45. 18;"242,140"
10:00. 18;"244,620"
10:15. 18;"246,830"
10:30. 18;"245,420"
10:45. 18;"246,190"
11:00. 18;"246,160"
11:15. 18;"245,840"
11:30. 18;"246,330"
11:45. 18;"245,350"
12:00. 18;"246,310"
12:15. 18;"244,600"
12:30. 18;"244,320"
12:45. 18;"244,230"
13:00. 18;"243,820"
13:15. 18;"243,410"
13:30. 18;"242,290"
13:45. 18;"242,630"
14:00. 18;"243,420"
14:15. 18;"243,960"
14:30. 18;"243,170"
14:45. 18;"242,850"
15:00. 18;"243,470"
15:15. 18;"243,580"
15:30. 18;"244,140"
15:45. 18;"243,900"
16:00. 18;"243,510"
16:15. 18;"242,680"
16:30. 18;"241,390"
16:45. 18;"241,060"
17:00. 18;"241,240"
17:15. 18;"241,220"
17:30. 18;"240,390"
17:45. 18;"241,940"
18:00. 18;"241,750"
18:15. 18;"242,140"
18:30. 18;"241,780"
18:45. 18;"241,470"
19:00. 18;"241,270"
19:15. 18;"241,880"
19:30. 18;"241,710"
19:45. 18;"241,290"
20:00. 18;"241,070"
20:15. 18;
20:30. 18;
20:45. 18;
21:00. 18;
21:15. 18;
21:30. 18;
21:45. 18;
22:00. 18;
22:15. 18;
22:30. 18;
22:45. 18;
23:00. 18;
23:15. 18;
23:30. 18;
23:45. 18;
00:00. 19;
00:15. 19;
00:30. 19;
00:45. 19;
01:00. 19;
01:15. 19;
01:30. 19;
01:45. 19;
02:00. 19;
02:15. 19;
02:30. 19;
02:45. 19;
03:00. 19;
03:15. 19;
03:30. 19;
03:45. 19;
04:00. 19;
04:15. 19;
04:30. 19;
04:45. 19;
05:00. 19;
05:15. 19;
05:30. 19;
05:45. 19;
06:00. 19;
06:15. 19;
06:30. 19;"242,860"
06:45. 19;"241,910"
07:00. 19;"241,230"
07:15. 19;"241,360"
07:30. 19;"241,580"
07:45. 19;"242,050"
08:00. 19;"241,480"
08:15. 19;"241,440"
08:30. 19;"241,330"
08:45. 19;"241,660"
09:00. 19;"241,760"
09:15. 19;"241,910"
09:30. 19;"241,580"
09:45. 19;"241,680"
10:00. 19;"240,560"
10:15. 19;"240,170"
10:30. 19;"239,910"
10:45. 19;"241,000"
11:00. 19;"240,980"
11:15. 19;"241,160"
11:30. 19;"241,570"
11:45. 19;"244,620"
12:00. 19;"245,430"
12:15. 19;"245,810"
12:30. 19;"242,710"
12:45. 19;"243,620"
13:00. 19;"243,310"
13:15. 19;"244,110"
13:30. 19;"244,370"
13:45. 19;"244,250"
14:00. 19;"243,800"
14:15. 19;"244,570"
14:30. 19;"245,180"
14:45. 19;"244,010"
15:00. 19;"243,090"
15:15. 19;"242,870"
15:30. 19;"242,810"
15:45. 19;"243,040"
16:00. 19;"242,920"
16:15. 19;"243,290"
16:30. 19;"244,240"
16:45. 19;"244,090"
17:00. 19;"243,480"
17:15. 19;"243,690"
17:30. 19;"243,880"
17:45. 19;"243,610"
18:00. 19;"244,160"
18:15. 19;"243,010"
18:30. 19;"240,780"
18:45. 19;"240,570"
19:00. 19;"240,410"
19:15. 19;"240,130"
19:30. 19;"239,650"
19:45. 19;"239,650"
20:00. 19;"240,010"
20:15. 19;"239,950"
20:30. 19;
20:45. 19;
21:00. 19;
21:15. 19;
21:30. 19;
21:45. 19;
22:00. 19;
22:15. 19;
22:30. 19;
22:45. 19;
23:00. 19;
23:15. 19;
23:30. 19;
23:45. 19;
00:00. 20;
00:15. 20;
00:30. 20;
00:45. 20;
01:00. 20;
01:15. 20;
01:30. 20;
01:45. 20;
02:00. 20;
02:15. 20;
02:30. 20;
02:45. 20;
03:00. 20;
03:15. 20;
03:30. 20;
03:45. 20;
04:00. 20;
04:15. 20;
04:30. 20;
04:45. 20;
05:00. 20;
05:15. 20;
05:30. 20;
05:45. 20;
06:00. 20;"242,350"
06:15. 20;"242,870"
06:30. 20;"243,830"
06:45. 20;"241,830"
07:00. 20;"242,120"
07:15. 20;"241,860"
07:30. 20;"241,580"
07:45. 20;"241,310"
08:00. 20;"240,860"
08:15. 20;"240,750"
08:30. 20;"244,100"
08:45. 20;"244,710"
09:00. 20;"244,050"
09:15. 20;"243,610"
09:30. 20;"245,120"
09:45. 20;"246,270"
10:00. 20;"246,250"
10:15. 20;"246,690"
10:30. 20;"246,620"
10:45. 20;"246,350"
11:00. 20;"245,770"
11:15. 20;"247,080"
11:30. 20;"246,820"
11:45. 20;"246,840"
12:00. 20;"246,930"
12:15. 20;"247,030"
12:30. 20;"247,390"
12:45. 20;"247,290"
13:00. 20;"247,560"
13:15. 20;"247,490"
13:30. 20;"247,230"
13:45. 20;"246,740"
14:00. 20;"246,580"
14:15. 20;"246,160"
14:30. 20;"246,030"
14:45. 20;"244,530"
15:00. 20;"244,280"
15:15. 20;"243,870"
