 ;SB 5000TL-20 442 / voltage / Wartości średnie  [V]0
00:15. 21;
00:30. 21;
00:45. 21;
01:00. 21;
01:15. 21;
01:30. 21;
01:45. 21;
02:00. 21;
02:15. 21;
02:30. 21;
02:45. 21;
03:00. 21;
03:15. 21;
03:30. 21;
03:45. 21;
04:00. 21;
04:15. 21;
04:30. 21;
04:45. 21;
05:00. 21;
05:15. 21;
05:30. 21;
05:45. 21;
06:00. 21;"243,000"
06:15. 21;"243,080"
06:30. 21;"243,470"
06:45. 21;"243,010"
07:00. 21;"242,600"
07:15. 21;"242,630"
07:30. 21;"242,740"
07:45. 21;"242,800"
08:00. 21;"242,910"
08:15. 21;"242,740"
08:30. 21;"243,260"
08:45. 21;"244,490"
09:00. 21;"244,740"
09:15. 21;"244,360"
09:30. 21;"244,920"
09:45. 21;"245,400"
10:00. 21;"246,500"
10:15. 21;"246,730"
10:30. 21;"246,100"
10:45. 21;"246,310"
11:00. 21;"247,770"
11:15. 21;"247,960"
11:30. 21;"247,620"
11:45. 21;"247,020"
12:00. 21;"246,870"
12:15. 21;"246,760"
12:30. 21;"247,130"
12:45. 21;"246,760"
13:00. 21;"246,950"
13:15. 21;"247,520"
13:30. 21;"246,680"
13:45. 21;"245,270"
14:00. 21;"244,960"
14:15. 21;"245,180"
14:30. 21;"245,770"
14:45. 21;"245,760"
15:00. 21;"245,760"
15:15. 21;"245,150"
15:30. 21;"245,790"
15:45. 21;"245,660"
16:00. 21;"245,250"
16:15. 21;"242,910"
16:30. 21;"242,710"
16:45. 21;"242,260"
17:00. 21;"242,740"
17:15. 21;"242,890"
17:30. 21;"241,730"
17:45. 21;"240,640"
18:00. 21;"240,470"
18:15. 21;"240,440"
18:30. 21;"240,130"
18:45. 21;"239,770"
19:00. 21;"239,030"
19:15. 21;"241,320"
19:30. 21;"240,980"
19:45. 21;"239,930"
20:00. 21;"239,800"
20:15. 21;"240,510"
20:30. 21;
20:45. 21;
21:00. 21;
21:15. 21;
21:30. 21;
21:45. 21;
22:00. 21;
22:15. 21;
22:30. 21;
22:45. 21;
23:00. 21;
23:15. 21;
23:30. 21;
23:45. 21;
00:00. 22;
00:15. 22;
00:30. 22;
00:45. 22;
01:00. 22;
01:15. 22;
01:30. 22;
01:45. 22;
02:00. 22;
02:15. 22;
02:30. 22;
02:45. 22;
03:00. 22;
03:15. 22;
03:30. 22;
03:45. 22;
04:00. 22;
04:15. 22;
04:30. 22;
04:45. 22;
05:00. 22;
05:15. 22;
05:30. 22;
05:45. 22;
06:00. 22;
06:15. 22;"240,230"
06:30. 22;"238,940"
06:45. 22;"238,790"
07:00. 22;"238,670"
07:15. 22;"239,020"
07:30. 22;"238,220"
07:45. 22;"240,620"
08:00. 22;"241,920"
08:15. 22;"242,500"
08:30. 22;"244,220"
08:45. 22;"243,470"
09:00. 22;"245,280"
09:15. 22;"244,980"
09:30. 22;"244,820"
09:45. 22;"244,460"
10:00. 22;"245,890"
10:15. 22;"246,110"
10:30. 22;"247,510"
10:45. 22;"247,320"
11:00. 22;"247,350"
11:15. 22;"247,440"
11:30. 22;"247,480"
11:45. 22;"247,510"
12:00. 22;"246,390"
12:15. 22;"247,060"
12:30. 22;"246,940"
12:45. 22;"246,710"
13:00. 22;"246,830"
13:15. 22;"246,910"
13:30. 22;"246,920"
13:45. 22;"246,930"
14:00. 22;"246,850"
14:15. 22;"246,470"
14:30. 22;"245,500"
14:45. 22;"245,100"
15:00. 22;"244,890"
15:15. 22;"244,880"
15:30. 22;"244,080"
15:45. 22;"244,180"
16:00. 22;"243,750"
16:15. 22;"242,300"
16:30. 22;"242,910"
16:45. 22;"242,020"
17:00. 22;"242,260"
17:15. 22;"242,060"
17:30. 22;"241,260"
17:45. 22;"240,790"
18:00. 22;"240,350"
18:15. 22;"240,660"
18:30. 22;"240,020"
18:45. 22;"240,450"
19:00. 22;"240,520"
19:15. 22;"241,070"
19:30. 22;"240,320"
19:45. 22;"240,320"
20:00. 22;"240,240"
20:15. 22;"241,210"
20:30. 22;
20:45. 22;
21:00. 22;
21:15. 22;
21:30. 22;
21:45. 22;
22:00. 22;
22:15. 22;
