 ;SB 5000TL-20 442 / power / Wartości średnie  [W]0
22:45. 16;
23:00. 16;
23:15. 16;
23:30. 16;
23:45. 16;
00:00. 17;
00:15. 17;
00:30. 17;
00:45. 17;
01:00. 17;
01:15. 17;
01:30. 17;
01:45. 17;
02:00. 17;
02:15. 17;
02:30. 17;
02:45. 17;
03:00. 17;
03:15. 17;
03:30. 17;
03:45. 17;
04:00. 17;
04:15. 17;
04:30. 17;
04:45. 17;
05:00. 17;
05:15. 17;
05:30. 17;
05:45. 17;
06:00. 17;
06:15. 17;"0,000"
06:30. 17;"19,890"
06:45. 17;"142,110"
07:00. 17;"326,370"
07:15. 17;"395,620"
07:30. 17;"367,790"
07:45. 17;"509,400"
08:00. 17;"743,830"
08:15. 17;"480,700"
08:30. 17;"487,530"
08:45. 17;"932,660"
09:00. 17;"748,840"
09:15. 17;"1123,210"
09:30. 17;"1508,840"
09:45. 17;"3022,320"
10:00. 17;"3294,100"
10:15. 17;"3415,880"
10:30. 17;"3201,560"
10:45. 17;"3807,120"
11:00. 17;"3967,210"
11:15. 17;"3857,330"
11:30. 17;"4181,600"
11:45. 17;"4024,550"
12:00. 17;"4173,850"
12:15. 17;"4010,550"
12:30. 17;"3797,740"
12:45. 17;"3141,790"
13:00. 17;"3057,950"
13:15. 17;"2763,180"
13:30. 17;"1738,420"
13:45. 17;"2463,940"
14:00. 17;"2669,160"
14:15. 17;"3246,630"
14:30. 17;"3067,370"
14:45. 17;"2445,510"
15:00. 17;"2537,100"
15:15. 17;"1857,850"
15:30. 17;"1874,150"
15:45. 17;"2278,710"
16:00. 17;"2070,630"
16:15. 17;"1658,510"
16:30. 17;"1312,050"
16:45. 17;"677,820"
17:00. 17;"767,840"
17:15. 17;"537,260"
17:30. 17;"481,000"
17:45. 17;"428,550"
18:00. 17;"346,280"
18:15. 17;"291,240"
18:30. 17;"267,160"
18:45. 17;"217,060"
19:00. 17;"145,420"
19:15. 17;"92,260"
19:30. 17;"29,550"
19:45. 17;"0,630"
20:00. 17;"0,000"
20:15. 17;
20:30. 17;
20:45. 17;
21:00. 17;
21:15. 17;
21:30. 17;
21:45. 17;
22:00. 17;
22:15. 17;
22:30. 17;
22:45. 17;
23:00. 17;
23:15. 17;
23:30. 17;
23:45. 17;
00:00. 18;
00:15. 18;
00:30. 18;
00:45. 18;
01:00. 18;
01:15. 18;
01:30. 18;
01:45. 18;
02:00. 18;
02:15. 18;
02:30. 18;
02:45. 18;
03:00. 18;
03:15. 18;
03:30. 18;
03:45. 18;
04:00. 18;
04:15. 18;
04:30. 18;
04:45. 18;
05:00. 18;
05:15. 18;
05:30. 18;
05:45. 18;
06:00. 18;
06:15. 18;
06:30. 18;
06:45. 18;"0,000"
07:00. 18;"0,000"
07:15. 18;"0,000"
07:30. 18;"0,000"
07:45. 18;"0,000"
08:00. 18;"0,000"
08:15. 18;"0,000"
08:30. 18;"0,000"
08:45. 18;"0,000"
09:00. 18;"0,000"
09:15. 18;"0,000"
09:30. 18;"0,000"
09:45. 18;"942,470"
10:00. 18;"2084,750"
10:15. 18;"3340,030"
10:30. 18;"2471,440"
10:45. 18;"3355,540"
11:00. 18;"3391,290"
11:15. 18;"3409,370"
11:30. 18;"4004,170"
11:45. 18;"3366,160"
12:00. 18;"3992,060"
12:15. 18;"3133,540"
12:30. 18;"2955,630"
12:45. 18;"2902,320"
13:00. 18;"2438,680"
13:15. 18;"1917,340"
13:30. 18;"1068,530"
13:45. 18;"1031,120"
14:00. 18;"1484,000"
14:15. 18;"1725,110"
14:30. 18;"1280,580"
14:45. 18;"1050,210"
15:00. 18;"1281,650"
15:15. 18;"1335,970"
15:30. 18;"1527,330"
15:45. 18;"1541,830"
16:00. 18;"1546,320"
16:15. 18;"996,080"
16:30. 18;"259,100"
16:45. 18;"206,050"
17:00. 18;"500,050"
17:15. 18;"361,130"
17:30. 18;"290,950"
17:45. 18;"324,240"
18:00. 18;"217,800"
18:15. 18;"224,310"
18:30. 18;"152,000"
18:45. 18;"127,980"
19:00. 18;"61,250"
19:15. 18;"21,690"
19:30. 18;"14,050"
19:45. 18;"0,520"
20:00. 18;"0,000"
20:15. 18;
20:30. 18;
20:45. 18;
21:00. 18;
21:15. 18;
21:30. 18;
21:45. 18;
22:00. 18;
22:15. 18;
22:30. 18;
22:45. 18;
23:00. 18;
23:15. 18;
23:30. 18;
23:45. 18;
00:00. 19;
00:15. 19;
00:30. 19;
00:45. 19;
01:00. 19;
01:15. 19;
01:30. 19;
01:45. 19;
02:00. 19;
02:15. 19;
02:30. 19;
02:45. 19;
03:00. 19;
03:15. 19;
03:30. 19;
03:45. 19;
04:00. 19;
04:15. 19;
04:30. 19;
04:45. 19;
05:00. 19;
05:15. 19;
05:30. 19;
05:45. 19;
06:00. 19;
06:15. 19;
06:30. 19;"0,000"
06:45. 19;"1,480"
07:00. 19;"7,420"
07:15. 19;"55,410"
07:30. 19;"98,940"
07:45. 19;"215,290"
08:00. 19;"237,790"
08:15. 19;"336,240"
08:30. 19;"464,320"
08:45. 19;"691,720"
09:00. 19;"917,740"
09:15. 19;"1212,870"
09:30. 19;"1285,530"
09:45. 19;"1399,120"
10:00. 19;"593,790"
10:15. 19;"417,550"
10:30. 19;"628,680"
10:45. 19;"1274,870"
11:00. 19;"1072,780"
11:15. 19;"879,130"
11:30. 19;"1363,170"
11:45. 19;"3651,100"
12:00. 19;"3941,350"
12:15. 19;"4460,890"
12:30. 19;"3018,210"
12:45. 19;"3691,760"
13:00. 19;"1483,580"
13:15. 19;"1675,890"
13:30. 19;"1959,100"
13:45. 19;"1859,280"
14:00. 19;"1518,900"
14:15. 19;"1684,180"
14:30. 19;"2000,840"
14:45. 19;"1451,870"
15:00. 19;"1043,630"
15:15. 19;"776,970"
15:30. 19;"677,320"
15:45. 19;"796,330"
16:00. 19;"733,630"
16:15. 19;"769,290"
16:30. 19;"679,680"
16:45. 19;"464,250"
17:00. 19;"356,060"
17:15. 19;"330,130"
17:30. 19;"337,530"
17:45. 19;"458,760"
18:00. 19;"453,680"
18:15. 19;"373,650"
18:30. 19;"184,530"
18:45. 19;"143,040"
19:00. 19;"158,170"
19:15. 19;"100,100"
19:30. 19;"35,840"
19:45. 19;"0,920"
20:00. 19;"0,000"
20:15. 19;"0,000"
20:30. 19;
20:45. 19;
21:00. 19;
21:15. 19;
21:30. 19;
21:45. 19;
22:00. 19;
22:15. 19;
22:30. 19;
22:45. 19;
23:00. 19;
23:15. 19;
23:30. 19;
23:45. 19;
00:00. 20;
00:15. 20;
00:30. 20;
00:45. 20;
01:00. 20;
01:15. 20;
01:30. 20;
01:45. 20;
02:00. 20;
02:15. 20;
02:30. 20;
02:45. 20;
03:00. 20;
03:15. 20;
03:30. 20;
03:45. 20;
04:00. 20;
04:15. 20;
04:30. 20;
04:45. 20;
05:00. 20;
05:15. 20;
05:30. 20;
05:45. 20;
06:00. 20;"0,000"
06:15. 20;"13,270"
06:30. 20;"53,160"
06:45. 20;"119,950"
07:00. 20;"299,100"
07:15. 20;"390,240"
07:30. 20;"198,280"
07:45. 20;"192,230"
08:00. 20;"209,150"
08:15. 20;"480,290"
08:30. 20;"2292,840"
08:45. 20;"2678,820"
09:00. 20;"2528,630"
09:15. 20;"1389,660"
09:30. 20;"2478,370"
09:45. 20;"3258,500"
10:00. 20;"3581,840"
10:15. 20;"3729,110"
10:30. 20;"3866,370"
10:45. 20;"3925,080"
11:00. 20;"3980,370"
11:15. 20;"4056,080"
11:30. 20;"4075,000"
11:45. 20;"4127,920"
12:00. 20;"4134,780"
12:15. 20;"4146,990"
12:30. 20;"4146,950"
12:45. 20;"4094,880"
13:00. 20;"4035,210"
13:15. 20;"3978,450"
13:30. 20;"3895,950"
13:45. 20;"3814,430"
14:00. 20;"3685,600"
14:15. 20;"3611,650"
14:30. 20;"3478,840"
14:45. 20;"3333,790"
15:00. 20;"3173,670"
15:15. 20;"2975,600"
15:30. 20;"2758,650"
15:45. 20;"2539,790"
16:00. 20;"2304,900"
16:15. 20;"2088,230"
16:30. 20;"1843,790"
16:45. 20;"1320,410"
17:00. 20;"1316,050"
17:15. 20;"1035,150"
17:30. 20;"768,900"
17:45. 20;"532,570"
18:00. 20;"322,370"
18:15. 20;"206,520"
18:30. 20;"148,050"
18:45. 20;"114,700"
19:00. 20;"65,630"
19:15. 20;"52,820"
19:30. 20;"53,250"
19:45. 20;"27,710"
20:00. 20;"3,200"
20:15. 20;"0,000"
20:30. 20;
20:45. 20;
21:00. 20;
21:15. 20;
21:30. 20;
21:45. 20;
22:00. 20;
22:15. 20;
22:30. 20;
22:45. 20;
23:00. 20;
23:15. 20;
23:30. 20;
23:45. 20;
00:00. 21;
