 ;SB 5000TL-20 442 / Grid voltage phase L1 / Wartości średnie  [V]0
00:15. 7;
00:30. 7;
00:45. 7;
01:00. 7;
01:15. 7;
01:30. 7;
01:45. 7;
02:00. 7;
02:15. 7;
02:30. 7;
02:45. 7;
03:00. 7;
03:15. 7;
03:30. 7;
03:45. 7;
04:00. 7;
04:15. 7;
04:30. 7;
04:45. 7;
05:00. 7;
05:15. 7;
05:30. 7;
05:45. 7;
06:00. 7;
06:15. 7;
06:30. 7;
06:45. 7;"241,110"
07:00. 7;"241,170"
07:15. 7;"241,340"
07:30. 7;"240,890"
07:45. 7;"240,970"
08:00. 7;"240,930"
08:15. 7;"241,370"
08:30. 7;"241,660"
08:45. 7;"242,350"
09:00. 7;"242,030"
09:15. 7;"242,330"
09:30. 7;"243,340"
09:45. 7;"243,580"
10:00. 7;"241,700"
10:15. 7;"243,000"
10:30. 7;"242,680"
10:45. 7;"242,940"
11:00. 7;"244,840"
11:15. 7;"245,550"
11:30. 7;"244,700"
11:45. 7;"243,600"
12:00. 7;"243,840"
12:15. 7;"243,760"
12:30. 7;"243,300"
12:45. 7;"242,750"
13:00. 7;"242,710"
13:15. 7;"242,610"
13:30. 7;"242,120"
13:45. 7;"241,860"
14:00. 7;"241,540"
14:15. 7;"241,590"
14:30. 7;"241,020"
14:45. 7;"241,000"
15:00. 7;"240,980"
15:15. 7;"241,170"
15:30. 7;"241,170"
15:45. 7;"240,910"
16:00. 7;"241,760"
16:15. 7;"242,550"
16:30. 7;"243,100"
16:45. 7;"242,190"
17:00. 7;"241,740"
17:15. 7;"242,030"
17:30. 7;"241,580"
17:45. 7;"241,620"
18:00. 7;"241,840"
18:15. 7;"242,480"
18:30. 7;"242,440"
18:45. 7;"241,900"
19:00. 7;"241,740"
19:15. 7;"241,980"
19:30. 7;"242,030"
19:45. 7;
20:00. 7;
20:15. 7;
20:30. 7;
20:45. 7;
21:00. 7;
21:15. 7;
21:30. 7;
21:45. 7;
22:00. 7;
22:15. 7;
22:30. 7;
22:45. 7;
23:00. 7;
23:15. 7;
23:30. 7;
23:45. 7;
00:00. 8;
00:15. 8;
00:30. 8;
00:45. 8;
01:00. 8;
01:15. 8;
01:30. 8;
01:45. 8;
02:00. 8;
02:15. 8;
02:30. 8;
02:45. 8;
03:00. 8;
03:15. 8;
03:30. 8;
03:45. 8;
04:00. 8;
04:15. 8;
04:30. 8;
04:45. 8;
05:00. 8;
05:15. 8;
05:30. 8;
05:45. 8;
06:00. 8;
06:15. 8;
06:30. 8;"239,840"
06:45. 8;"240,150"
07:00. 8;"240,420"
07:15. 8;"240,440"
07:30. 8;"240,380"
07:45. 8;"240,470"
08:00. 8;"240,670"
08:15. 8;"240,410"
08:30. 8;"239,860"
08:45. 8;"242,910"
09:00. 8;"244,040"
09:15. 8;"244,340"
09:30. 8;"244,980"
09:45. 8;"244,670"
10:00. 8;"244,990"
10:15. 8;"245,150"
10:30. 8;"246,340"
10:45. 8;"245,460"
11:00. 8;"246,060"
11:15. 8;"245,910"
11:30. 8;"245,150"
11:45. 8;"245,890"
12:00. 8;"245,720"
12:15. 8;"246,760"
12:30. 8;"245,130"
12:45. 8;"245,430"
13:00. 8;"244,340"
13:15. 8;"245,790"
13:30. 8;"246,030"
13:45. 8;"245,400"
14:00. 8;"246,070"
14:15. 8;"245,780"
14:30. 8;"244,700"
14:45. 8;"245,240"
15:00. 8;"244,910"
15:15. 8;"244,780"
15:30. 8;"244,780"
15:45. 8;"244,260"
16:00. 8;"244,280"
16:15. 8;"243,630"
16:30. 8;"243,320"
16:45. 8;"243,150"
17:00. 8;"242,760"
17:15. 8;"242,470"
17:30. 8;"242,000"
17:45. 8;"241,650"
18:00. 8;"241,640"
18:15. 8;"241,570"
18:30. 8;"241,280"
18:45. 8;"240,590"
19:00. 8;"240,060"
19:15. 8;"240,520"
19:30. 8;"239,950"
19:45. 8;"239,880"
20:00. 8;"239,400"
20:15. 8;
20:30. 8;
20:45. 8;
21:00. 8;
21:15. 8;
21:30. 8;
21:45. 8;
22:00. 8;
22:15. 8;
22:30. 8;
22:45. 8;
23:00. 8;
23:15. 8;
23:30. 8;
23:45. 8;
00:00. 9;
00:15. 9;
00:30. 9;
00:45. 9;
01:00. 9;
