 ;SB 5000TL-20 442 / current / Wartości średnie  [A]0
00:15. 14;
00:30. 14;
00:45. 14;
01:00. 14;
01:15. 14;
01:30. 14;
01:45. 14;
02:00. 14;
02:15. 14;
02:30. 14;
02:45. 14;
03:00. 14;
03:15. 14;
03:30. 14;
03:45. 14;
04:00. 14;
04:15. 14;
04:30. 14;
04:45. 14;
05:00. 14;
05:15. 14;
05:30. 14;
05:45. 14;
06:00. 14;
06:15. 14;
06:30. 14;"0,000"
06:45. 14;"0,080"
07:00. 14;"0,290"
07:15. 14;"0,910"
07:30. 14;"1,340"
07:45. 14;"1,300"
08:00. 14;"1,820"
08:15. 14;"1,980"
08:30. 14;"1,620"
08:45. 14;"1,560"
09:00. 14;"1,030"
09:15. 14;"1,700"
09:30. 14;"2,670"
09:45. 14;"4,160"
10:00. 14;"5,040"
10:15. 14;"5,490"
10:30. 14;"16,720"
10:45. 14;"14,790"
11:00. 14;"7,280"
11:15. 14;"6,780"
11:30. 14;"16,410"
11:45. 14;"14,620"
12:00. 14;"15,010"
12:15. 14;"16,000"
12:30. 14;"15,980"
12:45. 14;"15,420"
13:00. 14;"15,840"
13:15. 14;"15,410"
13:30. 14;"15,160"
13:45. 14;"14,610"
14:00. 14;"14,180"
14:15. 14;"13,810"
14:30. 14;"13,170"
14:45. 14;"12,430"
15:00. 14;"9,420"
15:15. 14;"10,140"
15:30. 14;"10,520"
15:45. 14;"8,800"
16:00. 14;"7,910"
16:15. 14;"6,980"
16:30. 14;"6,700"
16:45. 14;"4,840"
17:00. 14;"3,020"
17:15. 14;"2,570"
17:30. 14;"1,970"
17:45. 14;"1,320"
18:00. 14;"0,960"
18:15. 14;"0,910"
18:30. 14;"0,740"
18:45. 14;"0,460"
19:00. 14;"0,360"
19:15. 14;"0,180"
19:30. 14;"0,080"
19:45. 14;"0,030"
20:00. 14;"0,000"
20:15. 14;
20:30. 14;
20:45. 14;
21:00. 14;
21:15. 14;
21:30. 14;
21:45. 14;
22:00. 14;
22:15. 14;
22:30. 14;
22:45. 14;
23:00. 14;
23:15. 14;
23:30. 14;
23:45. 14;
00:00. 15;
00:15. 15;
00:30. 15;
00:45. 15;
01:00. 15;
01:15. 15;
01:30. 15;
01:45. 15;
02:00. 15;
02:15. 15;
02:30. 15;
02:45. 15;
03:00. 15;
03:15. 15;
03:30. 15;
03:45. 15;
04:00. 15;
04:15. 15;
04:30. 15;
04:45. 15;
05:00. 15;
05:15. 15;
05:30. 15;
05:45. 15;
06:00. 15;
06:15. 15;"0,000"
06:30. 15;"0,020"
06:45. 15;"0,210"
07:00. 15;"0,440"
07:15. 15;"0,570"
07:30. 15;"0,770"
07:45. 15;"1,300"
08:00. 15;"1,700"
08:15. 15;"1,650"
08:30. 15;"1,500"
08:45. 15;"1,900"
09:00. 15;"1,720"
09:15. 15;"1,190"
09:30. 15;"1,900"
09:45. 15;"1,070"
10:00. 15;"0,960"
10:15. 15;"1,200"
10:30. 15;"1,480"
10:45. 15;"3,970"
11:00. 15;"4,040"
11:15. 15;"2,870"
11:30. 15;"5,560"
11:45. 15;"3,820"
12:00. 15;"2,700"
12:15. 15;"6,510"
12:30. 15;"10,310"
12:45. 15;"6,730"
13:00. 15;"4,870"
13:15. 15;"2,830"
13:30. 15;"2,410"
13:45. 15;"4,000"
14:00. 15;"5,230"
14:15. 15;"3,550"
14:30. 15;"2,790"
14:45. 15;"2,710"
15:00. 15;"2,890"
15:15. 15;"2,440"
15:30. 15;"2,350"
15:45. 15;"1,210"
16:00. 15;"0,770"
16:15. 15;"1,390"
16:30. 15;"1,000"
16:45. 15;"0,740"
17:00. 15;"0,570"
17:15. 15;"0,530"
17:30. 15;"0,720"
17:45. 15;"0,520"
18:00. 15;"0,300"
18:15. 15;"0,180"
18:30. 15;"0,120"
18:45. 15;"0,180"
19:00. 15;"0,130"
19:15. 15;"0,040"
19:30. 15;"0,000"
19:45. 15;"0,000"
20:00. 15;
20:15. 15;
20:30. 15;
20:45. 15;
21:00. 15;
21:15. 15;
21:30. 15;
21:45. 15;
22:00. 15;
22:15. 15;
22:30. 15;
22:45. 15;
23:00. 15;
23:15. 15;
23:30. 15;
23:45. 15;
00:00. 16;
00:15. 16;
00:30. 16;
00:45. 16;
01:00. 16;
01:15. 16;
01:30. 16;
01:45. 16;
02:00. 16;
02:15. 16;
02:30. 16;
02:45. 16;
03:00. 16;
03:15. 16;
03:30. 16;
03:45. 16;
04:00. 16;
04:15. 16;
04:30. 16;
04:45. 16;
05:00. 16;
05:15. 16;
05:30. 16;
05:45. 16;
06:00. 16;
06:15. 16;"0,010"
06:30. 16;"0,130"
06:45. 16;"0,340"
07:00. 16;"0,510"
07:15. 16;"0,530"
07:30. 16;"0,510"
07:45. 16;"0,680"
08:00. 16;"0,890"
08:15. 16;"1,070"
08:30. 16;"5,920"
08:45. 16;"9,450"
09:00. 16;"10,480"
09:15. 16;"11,560"
09:30. 16;"12,380"
09:45. 16;"12,970"
10:00. 16;"13,610"
10:15. 16;"14,150"
10:30. 16;"14,770"
10:45. 16;"15,370"
11:00. 16;"15,560"
11:15. 16;"15,770"
11:30. 16;"16,110"
11:45. 16;"16,270"
12:00. 16;"16,450"
12:15. 16;"16,500"
12:30. 16;"16,460"
12:45. 16;"16,410"
13:00. 16;"16,280"
13:15. 16;"16,070"
13:30. 16;"15,930"
13:45. 16;"15,580"
14:00. 16;"15,020"
14:15. 16;"14,290"
14:30. 16;"14,010"
14:45. 16;"13,550"
15:00. 16;"12,790"
15:15. 16;"9,270"
15:30. 16;"4,770"
15:45. 16;"9,570"
16:00. 16;"9,400"
16:15. 16;"8,200"
16:30. 16;"7,710"
16:45. 16;"6,610"
17:00. 16;"5,320"
17:15. 16;"4,200"
17:30. 16;"3,150"
