 ;SB 5000TL-20 442 / Power / Wartości średnie  [W]0
00:15. 7;
00:30. 7;
00:45. 7;
01:00. 7;
01:15. 7;
01:30. 7;
01:45. 7;
02:00. 7;
02:15. 7;
02:30. 7;
02:45. 7;
03:00. 7;
03:15. 7;
03:30. 7;
03:45. 7;
04:00. 7;
04:15. 7;
04:30. 7;
04:45. 7;
05:00. 7;
05:15. 7;
05:30. 7;
05:45. 7;
06:00. 7;
06:15. 7;
06:30. 7;
06:45. 7;"7,390"
07:00. 7;"45,000"
07:15. 7;"108,370"
07:30. 7;"150,000"
07:45. 7;"232,180"
08:00. 7;"299,260"
08:15. 7;"396,710"
08:30. 7;"650,400"
08:45. 7;"973,870"
09:00. 7;"760,250"
09:15. 7;"885,240"
09:30. 7;"1705,740"
09:45. 7;"2014,580"
10:00. 7;"671,260"
10:15. 7;"1266,210"
10:30. 7;"1068,680"
10:45. 7;"1395,810"
11:00. 7;"2947,470"
11:15. 7;"3326,050"
11:30. 7;"2919,370"
11:45. 7;"1799,660"
12:00. 7;"2123,500"
12:15. 7;"2006,830"
12:30. 7;"1559,260"
12:45. 7;"1202,720"
13:00. 7;"1297,370"
13:15. 7;"1072,500"
13:30. 7;"800,440"
13:45. 7;"702,710"
14:00. 7;"296,630"
14:15. 7;"253,440"
14:30. 7;"241,670"
14:45. 7;"161,820"
15:00. 7;"133,900"
15:15. 7;"75,320"
15:30. 7;"81,790"
15:45. 7;"76,380"
16:00. 7;"393,370"
16:15. 7;"627,100"
16:30. 7;"865,790"
16:45. 7;"608,420"
17:00. 7;"307,610"
17:15. 7;"247,040"
17:30. 7;"183,200"
17:45. 7;"143,790"
18:00. 7;"132,880"
18:15. 7;"97,200"
18:30. 7;"76,100"
18:45. 7;"59,020"
19:00. 7;"22,800"
19:15. 7;"8,810"
19:30. 7;"0,000"
19:45. 7;
20:00. 7;
20:15. 7;
20:30. 7;
20:45. 7;
21:00. 7;
21:15. 7;
21:30. 7;
21:45. 7;
22:00. 7;
22:15. 7;
22:30. 7;
22:45. 7;
23:00. 7;
23:15. 7;
23:30. 7;
23:45. 7;
00:00. 8;
00:15. 8;
00:30. 8;
00:45. 8;
01:00. 8;
01:15. 8;
01:30. 8;
01:45. 8;
02:00. 8;
02:15. 8;
02:30. 8;
02:45. 8;
03:00. 8;
03:15. 8;
03:30. 8;
03:45. 8;
04:00. 8;
04:15. 8;
04:30. 8;
04:45. 8;
05:00. 8;
05:15. 8;
05:30. 8;
05:45. 8;
06:00. 8;
06:15. 8;
06:30. 8;"0,000"
06:45. 8;"21,940"
07:00. 8;"65,000"
07:15. 8;"103,240"
07:30. 8;"128,470"
07:45. 8;"154,010"
08:00. 8;"177,260"
08:15. 8;"205,320"
08:30. 8;"257,440"
08:45. 8;"1970,240"
09:00. 8;"2727,900"
09:15. 8;"3002,630"
09:30. 8;"3247,420"
09:45. 8;"3478,150"
10:00. 8;"3642,210"
10:15. 8;"3557,150"
10:30. 8;"4113,950"
10:45. 8;"3741,370"
11:00. 8;"4400,320"
11:15. 8;"4320,640"
11:30. 8;"4373,840"
11:45. 8;"4492,850"
12:00. 8;"4604,050"
12:15. 8;"4734,830"
12:30. 8;"3541,260"
12:45. 8;"3794,620"
13:00. 8;"3035,370"
13:15. 8;"4274,650"
13:30. 8;"4327,000"
13:45. 8;"3710,960"
14:00. 8;"4201,530"
14:15. 8;"3807,270"
14:30. 8;"3187,530"
14:45. 8;"3656,670"
15:00. 8;"3471,420"
15:15. 8;"3189,370"
15:30. 8;"3007,600"
15:45. 8;"2763,000"
16:00. 8;"2481,210"
16:15. 8;"2012,630"
16:30. 8;"1932,710"
16:45. 8;"1626,740"
17:00. 8;"1277,900"
17:15. 8;"1099,290"
17:30. 8;"804,370"
17:45. 8;"482,970"
18:00. 8;"298,050"
18:15. 8;"257,230"
18:30. 8;"206,420"
18:45. 8;"163,330"
19:00. 8;"121,350"
19:15. 8;"72,210"
19:30. 8;"28,720"
19:45. 8;"2,450"
20:00. 8;"0,000"
20:15. 8;
20:30. 8;
20:45. 8;
21:00. 8;
21:15. 8;
21:30. 8;
21:45. 8;
22:00. 8;
22:15. 8;
22:30. 8;
22:45. 8;
23:00. 8;
23:15. 8;
23:30. 8;
23:45. 8;
