 ;SB 5000TL-20 442 / Power / Wartości średnie  [W]0
00:30. 3;
00:45. 3;
01:00. 3;
01:15. 3;
01:30. 3;
01:45. 3;
02:00. 3;
02:15. 3;
02:30. 3;
02:45. 3;
03:00. 3;
03:15. 3;
03:30. 3;
03:45. 3;
04:00. 3;
04:15. 3;
04:30. 3;
04:45. 3;
05:00. 3;
05:15. 3;
05:30. 3;
05:45. 3;
06:00. 3;
06:15. 3;
06:30. 3;
06:45. 3;"5,140"
07:00. 3;"36,270"
07:15. 3;"77,430"
07:30. 3;"101,050"
07:45. 3;"125,280"
08:00. 3;"153,900"
08:15. 3;"177,720"
08:30. 3;"207,370"
08:45. 3;"1105,180"
09:00. 3;"2514,790"
09:15. 3;"2758,150"
09:30. 3;"2995,530"
09:45. 3;"3188,130"
10:00. 3;"3340,100"
10:15. 3;"3496,940"
10:30. 3;"3660,560"
10:45. 3;"3793,460"
11:00. 3;"3888,210"
11:15. 3;"3919,100"
11:30. 3;"3951,050"
11:45. 3;"3996,600"
12:00. 3;"4064,530"
12:15. 3;"4051,470"
12:30. 3;"4041,250"
12:45. 3;"4040,610"
13:00. 3;"3954,370"
13:15. 3;"3972,900"
13:30. 3;"3863,000"
13:45. 3;"3777,930"
14:00. 3;"3661,530"
14:15. 3;"3549,010"
14:30. 3;"3355,650"
14:45. 3;"3255,320"
15:00. 3;"3105,600"
15:15. 3;"2894,330"
15:30. 3;"2692,110"
15:45. 3;"2500,320"
16:00. 3;"2257,200"
16:15. 3;"2024,010"
16:30. 3;"1757,530"
16:45. 3;"1497,330"
17:00. 3;"1215,100"
17:15. 3;"945,750"
17:30. 3;"679,950"
17:45. 3;"451,330"
18:00. 3;"269,600"
18:15. 3;"167,720"
18:30. 3;"132,900"
18:45. 3;"108,100"
19:00. 3;"77,100"
19:15. 3;"37,580"
19:30. 3;"3,790"
19:45. 3;"0,000"
20:00. 3;
20:15. 3;
20:30. 3;
20:45. 3;
21:00. 3;
21:15. 3;
21:30. 3;
21:45. 3;
22:00. 3;
22:15. 3;
22:30. 3;
22:45. 3;
23:00. 3;
23:15. 3;
23:30. 3;
23:45. 3;
00:00. 4;
00:15. 4;
00:30. 4;
00:45. 4;
01:00. 4;
01:15. 4;
01:30. 4;
01:45. 4;
02:00. 4;
02:15. 4;
02:30. 4;
02:45. 4;
03:00. 4;
03:15. 4;
03:30. 4;
03:45. 4;
04:00. 4;
04:15. 4;
04:30. 4;
04:45. 4;
05:00. 4;
05:15. 4;
05:30. 4;
05:45. 4;
06:00. 4;
06:15. 4;
06:30. 4;
06:45. 4;"7,890"
07:00. 4;"41,470"
07:15. 4;"83,240"
07:30. 4;"112,100"
07:45. 4;"142,920"
08:00. 4;"169,950"
08:15. 4;"194,780"
08:30. 4;"236,450"
08:45. 4;"1193,450"
09:00. 4;"2419,500"
09:15. 4;"2647,550"
09:30. 4;"2889,950"
09:45. 4;"3068,000"
10:00. 4;"3236,840"
10:15. 4;"3385,270"
10:30. 4;"3551,050"
10:45. 4;"3685,650"
11:00. 4;"3806,050"
11:15. 4;"3807,520"
11:30. 4;"3831,260"
11:45. 4;"3876,800"
12:00. 4;"3905,950"
12:15. 4;"3943,940"
12:30. 4;"3958,680"
12:45. 4;"3929,440"
13:00. 4;"3981,350"
13:15. 4;"3864,890"
13:30. 4;"3778,280"
13:45. 4;"3655,910"
14:00. 4;"3531,780"
14:15. 4;"3411,380"
14:30. 4;"3246,950"
14:45. 4;"3150,900"
15:00. 4;"1897,740"
15:15. 4;"2743,080"
15:30. 4;"2617,680"
15:45. 4;"2393,520"
16:00. 4;"2194,940"
16:15. 4;"1971,240"
16:30. 4;"1717,630"
16:45. 4;"1463,660"
17:00. 4;"1189,100"
17:15. 4;"935,310"
17:30. 4;"683,630"
17:45. 4;"454,680"
18:00. 4;"271,950"
18:15. 4;"170,330"
18:30. 4;"134,470"
18:45. 4;"109,760"
19:00. 4;"81,170"
19:15. 4;"39,530"
19:30. 4;"5,420"
19:45. 4;"0,000"
20:00. 4;
20:15. 4;
20:30. 4;
20:45. 4;
21:00. 4;
21:15. 4;
21:30. 4;
21:45. 4;
22:00. 4;
22:15. 4;
22:30. 4;
22:45. 4;
23:00. 4;
23:15. 4;
23:30. 4;
23:45. 4;
00:00. 5;
00:15. 5;
00:30. 5;
00:45. 5;
01:00. 5;
01:15. 5;
01:30. 5;
01:45. 5;
02:00. 5;
02:15. 5;
02:30. 5;
02:45. 5;
03:00. 5;
03:15. 5;
03:30. 5;
03:45. 5;
04:00. 5;
04:15. 5;
04:30. 5;
04:45. 5;
05:00. 5;
05:15. 5;
05:30. 5;
05:45. 5;
06:00. 5;
06:15. 5;
06:30. 5;
06:45. 5;"8,450"
07:00. 5;"79,250"
07:15. 5;"156,110"
07:30. 5;"259,000"
07:45. 5;"374,520"
08:00. 5;"473,450"
08:15. 5;"632,260"
08:30. 5;"700,050"
08:45. 5;"793,570"
09:00. 5;"911,000"
09:15. 5;"960,410"
09:30. 5;"905,450"
09:45. 5;"1451,950"
10:00. 5;"1844,370"
10:15. 5;"2508,980"
10:30. 5;"3593,160"
10:45. 5;"3941,530"
11:00. 5;"4131,690"
11:15. 5;"4348,840"
11:30. 5;"4369,320"
11:45. 5;"4204,450"
12:00. 5;"3762,220"
12:15. 5;"3874,240"
12:30. 5;"4622,200"
12:45. 5;"3829,580"
13:00. 5;"3004,740"
13:15. 5;"2638,000"
13:30. 5;"1879,050"
13:45. 5;"1939,950"
14:00. 5;"1464,300"
14:15. 5;"1372,820"
14:30. 5;"1067,260"
14:45. 5;"1190,840"
15:00. 5;"1056,900"
15:15. 5;"1165,500"
15:30. 5;"611,470"
15:45. 5;"1445,000"
16:00. 5;"1051,530"
16:15. 5;"747,970"
