 ;SB 5000TL-20 442 / Grid current phase L1 / Wartości średnie  [A]0
00:15. 7;
00:30. 7;
00:45. 7;
01:00. 7;
01:15. 7;
01:30. 7;
01:45. 7;
02:00. 7;
02:15. 7;
02:30. 7;
02:45. 7;
03:00. 7;
03:15. 7;
03:30. 7;
03:45. 7;
04:00. 7;
04:15. 7;
04:30. 7;
04:45. 7;
05:00. 7;
05:15. 7;
05:30. 7;
05:45. 7;
06:00. 7;
06:15. 7;
06:30. 7;
06:45. 7;"0,030"
07:00. 7;"0,190"
07:15. 7;"0,450"
07:30. 7;"0,620"
07:45. 7;"0,970"
08:00. 7;"1,240"
08:15. 7;"1,640"
08:30. 7;"2,690"
08:45. 7;"4,020"
09:00. 7;"3,140"
09:15. 7;"3,650"
09:30. 7;"7,000"
09:45. 7;"8,250"
10:00. 7;"2,780"
10:15. 7;"5,210"
10:30. 7;"4,400"
10:45. 7;"5,740"
11:00. 7;"12,020"
11:15. 7;"13,510"
11:30. 7;"11,900"
11:45. 7;"7,380"
12:00. 7;"8,710"
12:15. 7;"8,230"
12:30. 7;"6,410"
12:45. 7;"4,960"
13:00. 7;"5,350"
13:15. 7;"4,420"
13:30. 7;"3,310"
13:45. 7;"2,910"
14:00. 7;"1,230"
14:15. 7;"1,050"
14:30. 7;"1,000"
14:45. 7;"0,670"
15:00. 7;"0,560"
15:15. 7;"0,310"
15:30. 7;"0,340"
15:45. 7;"0,320"
16:00. 7;"1,630"
16:15. 7;"2,590"
16:30. 7;"3,560"
16:45. 7;"2,510"
17:00. 7;"1,270"
17:15. 7;"1,020"
17:30. 7;"0,760"
17:45. 7;"0,600"
18:00. 7;"0,550"
18:15. 7;"0,400"
18:30. 7;"0,320"
18:45. 7;"0,250"
19:00. 7;"0,100"
19:15. 7;"0,040"
19:30. 7;"0,000"
19:45. 7;
20:00. 7;
20:15. 7;
20:30. 7;
20:45. 7;
21:00. 7;
21:15. 7;
21:30. 7;
21:45. 7;
22:00. 7;
22:15. 7;
22:30. 7;
22:45. 7;
23:00. 7;
23:15. 7;
23:30. 7;
23:45. 7;
00:00. 8;
00:15. 8;
00:30. 8;
00:45. 8;
01:00. 8;
01:15. 8;
01:30. 8;
01:45. 8;
02:00. 8;
02:15. 8;
02:30. 8;
02:45. 8;
03:00. 8;
03:15. 8;
03:30. 8;
03:45. 8;
04:00. 8;
04:15. 8;
04:30. 8;
04:45. 8;
05:00. 8;
05:15. 8;
05:30. 8;
05:45. 8;
06:00. 8;
06:15. 8;
06:30. 8;"0,000"
06:45. 8;"0,090"
07:00. 8;"0,270"
07:15. 8;"0,430"
07:30. 8;"0,540"
07:45. 8;"0,640"
08:00. 8;"0,740"
08:15. 8;"0,860"
08:30. 8;"1,080"
08:45. 8;"8,100"
09:00. 8;"11,180"
09:15. 8;"12,290"
09:30. 8;"13,260"
09:45. 8;"14,220"
10:00. 8;"14,870"
10:15. 8;"14,500"
10:30. 8;"16,700"
10:45. 8;"15,220"
11:00. 8;"17,880"
11:15. 8;"17,510"
11:30. 8;"17,830"
11:45. 8;"18,270"
12:00. 8;"18,740"
12:15. 8;"19,180"
12:30. 8;"14,400"
12:45. 8;"15,410"
13:00. 8;"12,380"
13:15. 8;"17,380"
13:30. 8;"17,590"
13:45. 8;"15,090"
14:00. 8;"17,070"
14:15. 8;"15,490"
14:30. 8;"13,010"
14:45. 8;"14,910"
15:00. 8;"14,170"
15:15. 8;"13,030"
15:30. 8;"12,290"
15:45. 8;"11,310"
16:00. 8;"10,160"
16:15. 8;"8,260"
16:30. 8;"7,940"
16:45. 8;"6,690"
17:00. 8;"5,260"
17:15. 8;"4,540"
17:30. 8;"3,330"
17:45. 8;"2,000"
18:00. 8;"1,230"
18:15. 8;"1,070"
18:30. 8;"0,860"
18:45. 8;"0,680"
19:00. 8;"0,510"
19:15. 8;"0,300"
19:30. 8;"0,120"
19:45. 8;"0,010"
20:00. 8;"0,000"
20:15. 8;
20:30. 8;
20:45. 8;
21:00. 8;
21:15. 8;
21:30. 8;
21:45. 8;
22:00. 8;
22:15. 8;
22:30. 8;
22:45. 8;
23:00. 8;
23:15. 8;
23:30. 8;
23:45. 8;
00:00. 9;
00:15. 9;
00:30. 9;
00:45. 9;
01:00. 9;
