 ;SB 5000TL-20 442 / Grid current phase L1 / Wartości średnie  [A]0
01:15. 9;
01:30. 9;
01:45. 9;
02:00. 9;
02:15. 9;
02:30. 9;
02:45. 9;
03:00. 9;
03:15. 9;
03:30. 9;
03:45. 9;
04:00. 9;
04:15. 9;
04:30. 9;
04:45. 9;
05:00. 9;
05:15. 9;
05:30. 9;
05:45. 9;
06:00. 9;
06:15. 9;
06:30. 9;"0,000"
06:45. 9;"0,170"
07:00. 9;"0,350"
07:15. 9;"0,560"
07:30. 9;"0,900"
07:45. 9;"1,600"
08:00. 9;"1,920"
08:15. 9;"1,770"
08:30. 9;"1,530"
08:45. 9;"8,950"
09:00. 9;"10,880"
09:15. 9;"11,610"
09:30. 9;"13,930"
09:45. 9;"13,390"
10:00. 9;"14,680"
10:15. 9;"15,610"
10:30. 9;"15,750"
10:45. 9;"16,900"
11:00. 9;"16,830"
11:15. 9;"16,920"
11:30. 9;"16,970"
11:45. 9;"17,100"
12:00. 9;"17,240"
12:15. 9;"17,140"
12:30. 9;"17,170"
12:45. 9;"16,950"
13:00. 9;"16,820"
13:15. 9;"10,320"
13:30. 9;"4,670"
13:45. 9;"3,410"
14:00. 9;"3,780"
14:15. 9;"5,690"
14:30. 9;
14:45. 9;"10,300"
15:00. 9;"8,220"
15:15. 9;"7,540"
15:30. 9;"5,920"
15:45. 9;"4,540"
16:00. 9;"4,190"
16:15. 9;"5,610"
16:30. 9;"8,160"
16:45. 9;"6,000"
17:00. 9;"3,780"
17:15. 9;"4,220"
17:30. 9;"3,690"
17:45. 9;"2,950"
18:00. 9;"1,850"
18:15. 9;"1,670"
18:30. 9;"1,330"
18:45. 9;"0,820"
19:00. 9;"0,630"
19:15. 9;"0,270"
19:30. 9;"0,000"
19:45. 9;
20:00. 9;
20:15. 9;
20:30. 9;
20:45. 9;
21:00. 9;
21:15. 9;
21:30. 9;
21:45. 9;
22:00. 9;
22:15. 9;
22:30. 9;
22:45. 9;
23:00. 9;
23:15. 9;
23:30. 9;
23:45. 9;
00:00. 10;
00:15. 10;
00:30. 10;
00:45. 10;
01:00. 10;
01:15. 10;
01:30. 10;
01:45. 10;
02:00. 10;
02:15. 10;
02:30. 10;
02:45. 10;
03:00. 10;
03:15. 10;
03:30. 10;
03:45. 10;
04:00. 10;
04:15. 10;
04:30. 10;
04:45. 10;
05:00. 10;
05:15. 10;
05:30. 10;
05:45. 10;
06:00. 10;
06:15. 10;
06:30. 10;"0,000"
06:45. 10;"0,210"
07:00. 10;"0,650"
07:15. 10;"0,690"
07:30. 10;"1,180"
07:45. 10;"1,460"
08:00. 10;"1,590"
08:15. 10;"2,760"
08:30. 10;"3,740"
08:45. 10;"5,080"
09:00. 10;"12,440"
09:15. 10;"10,300"
09:30. 10;"8,410"
09:45. 10;"7,530"
10:00. 10;"15,930"
10:15. 10;"10,560"
10:30. 10;"12,560"
10:45. 10;"11,820"
11:00. 10;"14,660"
11:15. 10;"11,550"
11:30. 10;"17,190"
11:45. 10;"18,010"
12:00. 10;"17,980"
12:15. 10;"17,440"
12:30. 10;"16,800"
12:45. 10;"15,550"
13:00. 10;"16,620"
13:15. 10;"16,340"
13:30. 10;"16,240"
13:45. 10;"15,660"
14:00. 10;"15,830"
14:15. 10;"15,760"
14:30. 10;"14,250"
14:45. 10;"12,830"
15:00. 10;"12,530"
15:15. 10;"11,960"
15:30. 10;"10,590"
15:45. 10;"9,940"
16:00. 10;"9,470"
16:15. 10;"8,590"
16:30. 10;"7,090"
16:45. 10;"6,040"
17:00. 10;"5,140"
17:15. 10;"3,900"
17:30. 10;"2,790"
17:45. 10;"2,280"
18:00. 10;"1,840"
18:15. 10;"1,360"
18:30. 10;"1,230"
18:45. 10;"0,980"
19:00. 10;"0,620"
19:15. 10;"0,370"
19:30. 10;"0,160"
19:45. 10;"0,010"
20:00. 10;"0,000"
20:15. 10;
20:30. 10;
20:45. 10;
21:00. 10;
21:15. 10;
21:30. 10;
21:45. 10;
22:00. 10;
22:15. 10;
22:30. 10;
22:45. 10;
23:00. 10;
23:15. 10;
23:30. 10;
23:45. 10;
00:00. 11;
00:15. 11;
00:30. 11;
00:45. 11;
01:00. 11;
01:15. 11;
01:30. 11;
01:45. 11;
02:00. 11;
02:15. 11;
02:30. 11;
02:45. 11;
03:00. 11;
03:15. 11;
03:30. 11;
03:45. 11;
04:00. 11;
04:15. 11;
04:30. 11;
04:45. 11;
05:00. 11;
05:15. 11;
05:30. 11;
05:45. 11;
06:00. 11;
06:15. 11;
06:30. 11;"0,000"
06:45. 11;"0,000"
07:00. 11;"0,040"
07:15. 11;"0,000"
07:30. 11;"0,150"
07:45. 11;"0,210"
08:00. 11;"0,240"
08:15. 11;"0,270"
08:30. 11;"0,360"
08:45. 11;"0,290"
09:00. 11;"0,500"
09:15. 11;"0,450"
09:30. 11;"0,630"
09:45. 11;"1,220"
10:00. 11;"1,130"
10:15. 11;"1,100"
10:30. 11;"0,940"
10:45. 11;"1,220"
11:00. 11;"1,420"
11:15. 11;"1,610"
11:30. 11;"1,890"
11:45. 11;"1,630"
12:00. 11;"1,370"
12:15. 11;"1,600"
12:30. 11;"1,900"
12:45. 11;"1,740"
13:00. 11;"1,730"
13:15. 11;"1,710"
13:30. 11;"1,570"
13:45. 11;"1,850"
14:00. 11;"2,260"
14:15. 11;"2,390"
14:30. 11;"2,320"
14:45. 11;"2,220"
15:00. 11;"3,110"
15:15. 11;"3,940"
15:30. 11;"4,430"
15:45. 11;"4,280"
16:00. 11;"2,610"
16:15. 11;"2,080"
16:30. 11;"1,200"
16:45. 11;"0,920"
17:00. 11;"0,710"
17:15. 11;"1,050"
17:30. 11;"0,620"
17:45. 11;"0,730"
18:00. 11;"0,680"
18:15. 11;"0,500"
18:30. 11;"0,280"
18:45. 11;"0,310"
19:00. 11;"0,120"
19:15. 11;"0,060"
19:30. 11;"0,000"
19:45. 11;"0,000"
20:00. 11;
20:15. 11;
20:30. 11;
20:45. 11;
21:00. 11;
21:15. 11;
21:30. 11;
21:45. 11;
22:00. 11;
22:15. 11;
22:30. 11;
22:45. 11;
23:00. 11;
23:15. 11;
23:30. 11;
23:45. 11;
00:00. 12;
00:15. 12;
00:30. 12;
00:45. 12;
01:00. 12;
01:15. 12;
01:30. 12;
01:45. 12;
02:00. 12;
02:15. 12;
02:30. 12;
02:45. 12;
03:00. 12;
03:15. 12;
03:30. 12;
03:45. 12;
04:00. 12;
04:15. 12;
04:30. 12;
04:45. 12;
05:00. 12;
05:15. 12;
05:30. 12;
05:45. 12;
06:00. 12;
06:15. 12;
06:30. 12;"0,000"
06:45. 12;"0,080"
07:00. 12;"0,230"
07:15. 12;"0,340"
07:30. 12;"0,620"
07:45. 12;"0,950"
08:00. 12;"0,930"
08:15. 12;"1,260"
08:30. 12;"1,420"
08:45. 12;"1,840"
09:00. 12;"2,170"
09:15. 12;"2,240"
09:30. 12;"3,080"
09:45. 12;"6,470"
10:00. 12;"4,960"
10:15. 12;"4,590"
10:30. 12;"6,040"
10:45. 12;"7,240"
11:00. 12;"10,080"
11:15. 12;"8,430"
11:30. 12;"6,550"
11:45. 12;"6,990"
12:00. 12;"8,600"
12:15. 12;"10,510"
12:30. 12;"13,580"
12:45. 12;"14,980"
13:00. 12;"11,460"
13:15. 12;"10,720"
13:30. 12;"9,560"
13:45. 12;"12,420"
14:00. 12;"10,440"
14:15. 12;"7,180"
14:30. 12;"7,380"
14:45. 12;"5,800"
15:00. 12;"5,370"
15:15. 12;"4,100"
15:30. 12;"4,020"
15:45. 12;"3,700"
16:00. 12;"3,750"
16:15. 12;"3,790"
16:30. 12;"4,200"
16:45. 12;"5,470"
17:00. 12;"5,660"
17:15. 12;"4,750"
17:30. 12;"3,240"
17:45. 12;"2,420"
18:00. 12;"1,770"
18:15. 12;"1,340"
18:30. 12;"1,090"
18:45. 12;"0,860"
19:00. 12;"0,560"
19:15. 12;"0,340"
19:30. 12;"0,110"
19:45. 12;"0,010"
20:00. 12;"0,000"
20:15. 12;
20:30. 12;
20:45. 12;
21:00. 12;
21:15. 12;
21:30. 12;
21:45. 12;
22:00. 12;
22:15. 12;
22:30. 12;
22:45. 12;
23:00. 12;
23:15. 12;
23:30. 12;
23:45. 12;
00:00. 13;
00:15. 13;
00:30. 13;
00:45. 13;
01:00. 13;
01:15. 13;
01:30. 13;
01:45. 13;
02:00. 13;
02:15. 13;
02:30. 13;
02:45. 13;
03:00. 13;
03:15. 13;
03:30. 13;
03:45. 13;
04:00. 13;
04:15. 13;
04:30. 13;
04:45. 13;
05:00. 13;
05:15. 13;
05:30. 13;
05:45. 13;
06:00. 13;
06:15. 13;"0,010"
06:30. 13;"0,160"
06:45. 13;"0,400"
07:00. 13;"0,670"
07:15. 13;"1,060"
07:30. 13;"0,860"
07:45. 13;"0,950"
08:00. 13;"1,000"
08:15. 13;"1,120"
08:30. 13;"3,260"
08:45. 13;"9,340"
09:00. 13;"10,550"
09:15. 13;"11,720"
09:30. 13;"12,670"
09:45. 13;"13,440"
10:00. 13;"14,200"
10:15. 13;"14,720"
10:30. 13;"15,290"
10:45. 13;"15,980"
11:00. 13;"15,910"
11:15. 13;"15,440"
11:30. 13;"11,470"
11:45. 13;"5,280"
12:00. 13;"7,420"
12:15. 13;"12,630"
12:30. 13;"16,860"
12:45. 13;"17,600"
13:00. 13;"17,090"
13:15. 13;"17,070"
13:30. 13;"17,280"
13:45. 13;"15,190"
14:00. 13;"13,240"
14:15. 13;"13,880"
14:30. 13;"14,080"
14:45. 13;"11,210"
15:00. 13;"8,520"
15:15. 13;"9,580"
15:30. 13;"8,010"
15:45. 13;"6,190"
16:00. 13;"4,430"
16:15. 13;"8,970"
16:30. 13;"5,230"
16:45. 13;"2,730"
17:00. 13;"2,850"
17:15. 13;"2,950"
17:30. 13;"2,750"
17:45. 13;"2,260"
18:00. 13;"1,160"
18:15. 13;"0,940"
18:30. 13;"0,570"
18:45. 13;"0,280"
19:00. 13;"0,270"
19:15. 13;"0,150"
19:30. 13;"0,020"
19:45. 13;"0,000"
20:00. 13;
20:15. 13;
20:30. 13;
20:45. 13;
21:00. 13;
21:15. 13;
21:30. 13;
21:45. 13;
22:00. 13;
22:15. 13;
22:30. 13;
22:45. 13;
23:00. 13;
23:15. 13;
23:30. 13;
23:45. 13;
00:00. 14;
