 ;SB 5000TL-20 442 / power / Wartości średnie  [W]0
00:15. 21;
00:30. 21;
00:45. 21;
01:00. 21;
01:15. 21;
01:30. 21;
01:45. 21;
02:00. 21;
02:15. 21;
02:30. 21;
02:45. 21;
03:00. 21;
03:15. 21;
03:30. 21;
03:45. 21;
04:00. 21;
04:15. 21;
04:30. 21;
04:45. 21;
05:00. 21;
05:15. 21;
05:30. 21;
05:45. 21;
06:00. 21;"0,000"
06:15. 21;"37,640"
06:30. 21;"117,830"
06:45. 21;"193,080"
07:00. 21;"277,320"
07:15. 21;"381,680"
07:30. 21;"431,000"
07:45. 21;"498,690"
08:00. 21;"586,160"
08:15. 21;"707,870"
08:30. 21;"1368,110"
08:45. 21;"1715,680"
09:00. 21;"2078,000"
09:15. 21;"1827,190"
09:30. 21;"2427,000"
09:45. 21;"2576,330"
10:00. 21;"3241,320"
10:15. 21;"3148,440"
10:30. 21;"3444,900"
10:45. 21;"3608,800"
11:00. 21;"3766,370"
11:15. 21;"3790,450"
11:30. 21;"3827,700"
11:45. 21;"3669,400"
12:00. 21;"3779,580"
12:15. 21;"3804,670"
12:30. 21;"3730,350"
12:45. 21;"3540,760"
13:00. 21;"3628,050"
13:15. 21;"3539,100"
13:30. 21;"3484,900"
13:45. 21;"3033,130"
14:00. 21;"2956,450"
14:15. 21;"2688,390"
14:30. 21;"2739,280"
14:45. 21;"2476,470"
15:00. 21;"2462,420"
15:15. 21;"2049,450"
15:30. 21;"1974,530"
15:45. 21;"1754,160"
16:00. 21;"1188,580"
16:15. 21;"1325,010"
16:30. 21;"760,530"
16:45. 21;"1099,130"
17:00. 21;"1328,210"
17:15. 21;"824,220"
17:30. 21;"599,840"
17:45. 21;"396,900"
18:00. 21;"306,420"
18:15. 21;"295,210"
18:30. 21;"207,470"
18:45. 21;"164,790"
19:00. 21;"104,440"
19:15. 21;"109,970"
19:30. 21;"62,790"
19:45. 21;"19,080"
20:00. 21;"0,000"
20:15. 21;"0,000"
20:30. 21;
20:45. 21;
21:00. 21;
21:15. 21;
21:30. 21;
21:45. 21;
22:00. 21;
22:15. 21;
22:30. 21;
22:45. 21;
23:00. 21;
23:15. 21;
23:30. 21;
23:45. 21;
00:00. 22;
00:15. 22;
00:30. 22;
00:45. 22;
01:00. 22;
01:15. 22;
01:30. 22;
01:45. 22;
02:00. 22;
02:15. 22;
02:30. 22;
02:45. 22;
03:00. 22;
03:15. 22;
03:30. 22;
03:45. 22;
04:00. 22;
04:15. 22;
04:30. 22;
04:45. 22;
05:00. 22;
05:15. 22;
05:30. 22;
05:45. 22;
06:00. 22;
06:15. 22;"0,000"
06:30. 22;"0,000"
06:45. 22;"0,000"
07:00. 22;"0,000"
07:15. 22;"0,000"
07:30. 22;"0,000"
07:45. 22;"91,820"
08:00. 22;"408,160"
08:15. 22;"774,090"
08:30. 22;"2078,320"
08:45. 22;"1576,170"
09:00. 22;"2840,400"
09:15. 22;"2483,130"
09:30. 22;"2526,650"
09:45. 22;"2176,440"
10:00. 22;"2977,710"
10:15. 22;"2753,220"
10:30. 22;"3722,430"
10:45. 22;"3813,940"
11:00. 22;"3853,790"
11:15. 22;"4031,290"
11:30. 22;"4071,210"
11:45. 22;"4089,780"
12:00. 22;"3329,710"
12:15. 22;"4020,890"
12:30. 22;"4097,210"
12:45. 22;"4030,130"
13:00. 22;"4036,000"
13:15. 22;"3958,660"
13:30. 22;"3871,560"
13:45. 22;"3802,970"
14:00. 22;"3729,700"
14:15. 22;"3583,010"
14:30. 22;"3455,260"
14:45. 22;"3313,190"
15:00. 22;"3170,830"
15:15. 22;"3026,370"
15:30. 22;"2389,880"
15:45. 22;"2555,940"
16:00. 22;"2502,380"
16:15. 22;"1192,730"
16:30. 22;"1710,610"
16:45. 22;"1090,550"
17:00. 22;"1657,910"
17:15. 22;"954,530"
17:30. 22;"711,170"
17:45. 22;"403,480"
18:00. 22;"328,710"
18:15. 22;"249,180"
18:30. 22;"215,040"
18:45. 22;"269,800"
19:00. 22;"164,830"
19:15. 22;"93,060"
19:30. 22;"81,790"
19:45. 22;"34,460"
20:00. 22;"0,220"
20:15. 22;"0,000"
